INFO:root:Epoch 0/24
INFO:root:----------
INFO:root:class_loss: 0.0038472493179142475, open_set_loss: 0.00015497766435146332
INFO:root:class_loss: 0.008252501487731934, open_set_loss: 0.0001521967351436615
INFO:root:class_loss: 0.009236250072717667, open_set_loss: 0.00015132129192352295
INFO:root:class_loss: 0.01796581968665123, open_set_loss: 0.00015047378838062286
INFO:root:class_loss: 0.0012861121213063598, open_set_loss: 0.00015517789870500565
INFO:root:class_loss: 0.0037835726980119944, open_set_loss: 0.00014538317918777466
INFO:root:class_loss: 0.002873519668355584, open_set_loss: 0.0001459745690226555
INFO:root:class_loss: 0.019245773553848267, open_set_loss: 0.00014554336667060852
INFO:root:class_loss: 0.011497038416564465, open_set_loss: 0.0001484723761677742
INFO:root:class_loss: 0.002050756709650159, open_set_loss: 0.00014750473201274872
INFO:root:class_loss: 0.0013936578761786222, open_set_loss: 0.00014773570001125336
INFO:root:class_loss: 0.009477570652961731, open_set_loss: 0.00014766119420528412
INFO:root:class_loss: 0.0005062612472102046, open_set_loss: 0.0001480095088481903
INFO:root:class_loss: 0.011072364635765553, open_set_loss: 0.0001579374074935913
INFO:root:class_loss: 0.0037503959611058235, open_set_loss: 0.00014434754848480225
INFO:root:class_loss: 0.00019985232211183757, open_set_loss: 0.0001419559121131897
INFO:root:class_loss: 0.004988373722881079, open_set_loss: 0.0001474432647228241
INFO:root:class_loss: 0.02131037600338459, open_set_loss: 0.00014549493789672852
INFO:root:class_loss: 0.0017689004307612777, open_set_loss: 0.0001475401222705841
INFO:root:class_loss: 0.01351005770266056, open_set_loss: 0.00013678520917892456
INFO:root:class_loss: 0.008128968067467213, open_set_loss: 0.00014463253319263458
INFO:root:class_loss: 0.0013107326813042164, open_set_loss: 0.0001472681760787964
INFO:root:class_loss: 0.014685598202049732, open_set_loss: 0.0001363418996334076
INFO:root:class_loss: 0.019486863166093826, open_set_loss: 0.00013459287583827972
INFO:root:class_loss: 0.0390925295650959, open_set_loss: 0.00013826973736286163
INFO:root:class_loss: 0.01205988135188818, open_set_loss: 0.0001320876181125641
INFO:root:class_loss: 0.01946278102695942, open_set_loss: 0.0001392131671309471
INFO:root:class_loss: 0.015783872455358505, open_set_loss: 0.00013435445725917816
INFO:root:class_loss: 0.012451136484742165, open_set_loss: 0.00013348925858736038
INFO:root:class_loss: 0.0021933461539447308, open_set_loss: 0.00013469718396663666
INFO:root:class_loss: 0.013504636473953724, open_set_loss: 0.000134175643324852
